"office","name","party","year"
"State Representative District 105","Harper-Brown","R",2008
"State Representative District 105","Romano","D",2008
"State Senator District 9","Harris","R",2008
"State Senator District 9","Willms","D",2008
"US Representative District 26","Burgess","R",2008
"US Representative District 26","Leach","D",2008
"State Board of Education District 14","Bogle","D",2008
"State Board of Education District 14","Lowe","R",2008
"State Representative District 65","Solomons","R",2008
"State Representative District 63","Carrillo","D",2008
"State Representative District 63","Parker","R",2008
"State Representative District 111","Davis","D",2008
"State Representative District 111","Fincannon","R",2008
"State Representative District 109","Giddings","D",2008
"State Representative District 106","England","D",2008
"State Representative District 106","Wiegman","R",2008
"State Board of Education District 11","Hardy","R",2008
"State Representative District 10","Pitts","R",2008
"US Representative District 6","Barton","R",2008
"US Representative District 6","Otto","D",2008
"US Representative District 4","Hall","R",2008
"US Representative District 4","Melancon","D",2008
"US Representative District 19","Fullingim","D",2008
"US Representative District 19","Neugebauer","R",2008
"State Representative District 3","Hollingsworth","R",2008
"State Representative District 3","Homer","D",2008
"State Representative District 64","Crownover","R",2008
"State Representative District 64","McClelland","D",2008
"US Representative District 15","Hinojosa","D",2008
"US Representative District 15","Zamora","R",2008
"State Senator District 21","Bruni","R",2008
"State Senator District 21","Zaffirini","D",2008
"US Representative District 28","Cuellar","D",2008
"US Representative District 28","Fish","R",2008
"State Representative District 60","Keffer","R",2008
"State Representative District 60","Shupp","D",2008
"State Senator District 24","Fraser","R",2008
"State Representative District 81","Lewis","R",2008
"State Representative District 78","Margo","R",2008
"State Representative District 78","Moody","D",2008
"US Representative District 16","Reyes","D",2008
"State Representative District 75","Garza","R",2008
"State Representative District 75","Quintanilla","D",2008
"State Representative District 59","Casbeer","D",2008
"State Representative District 59","Miller","R",2008
"US Representative District 31","Carter","R",2008
"US Representative District 31","Ruiz","D",2008
"State Representative District 57","Dunnam","D",2008
"State Representative District 62","Phillips","R",2008
"State Representative District 62","Veeck","D",2008
"State Representative District 17","Dippel","D",2008
"State Representative District 17","Kleinschmidt","R",2008
"US Representative District 25","Doggett","D",2008
"US Representative District 25","Morovich","R",2008
"US Representative District 10","Doherty","D",2008
"US Representative District 10","McCaul","R",2008
"State Representative District 28","Bottos","D",2008
"State Representative District 28","Zerwas","R",2008
"US Representative District 22","Lampson","D",2008
"US Representative District 22","Olson","R",2008
"State Representative District 27","Host","R",2008
"State Representative District 27","Olivo","D",2008
"State Board of Education District 6","Leo","R",2008
"State Representative District 132","Callegari","R",2008
"US Representative District 9","Green","D",2008
"State Board of Education District 7","Bradley","R",2008
"State Board of Education District 7","Ewing","D",2008
"State Representative District 24","Taylor","R",2008
"State Senator District 11","Jackson","R",2008
"State Senator District 11","Jaworski","D",2008
"State Representative District 23","Eiland","D",2008
"State Representative District 29","Murphy","D",2008
"State Representative District 29","Weber","R",2008
"State Representative District 73","Boone","D",2008
"State Representative District 73","Miller","R",2008
"State Board of Education District 2","Berlanga","D",2008
"State Board of Education District 2","Johnston","R",2008
"State Representative District 44","Kuempel","R",2008
"State Board of Education District 8","Cargill","R",2008
"State Representative District 7","Merritt","R",2008
"US Representative District 1","Gohmert","R",2008
"US Representative District 17","Curnock","R",2008
"US Representative District 17","Edwards","D",2008
"US Representative District 21","Smith","R",2008
"State Representative District 19","Hamilton","R",2008
"State Representative District 19","Hunter","D",2008
"US Representative District 8","Brady","R",2008
"US Representative District 8","Hargett","D",2008
"State Representative District 148","Farrar","D",2008
"State Representative District 148","Gano","R",2008
"State Senator District 6","Gallegos","D",2008
"State Senator District 6","Pena","R",2008
"US Representative District 18","Faulk","R",2008
"US Representative District 18","Jackson Lee","D",2008
"State Representative District 147","Coleman","D",2008
"State Representative District 150","Neal","D",2008
"State Representative District 150","Riddle","R",2008
"US Representative District 2","Poe","R",2008
"State Representative District 141","Bunch","R",2008
"State Representative District 141","Thompson","D",2008
"US Representative District 7","Culberson","R",2008
